Program Name,Entry Threshold,Duration (Domestic),Duration (International),Indicative Fees,QTAC Code,Start Semester,Career Outcomes,Location,Duration,Indicative fees,Indicative 2025 fees (A$),QTAC code,Start,You might also like...,Learn everything you need to know out in the field,In the news,CRICOS code,Entry threshold,Skip the loading screens and get your career started,Find your path to university,Ready for a change?,In high school?,Tech skills in-demand all over the world,"Study crime, justice and the law for a rewarding career",Undergraduate degree,Double degree,Honours,Associate degrees,Diplomas,Gain practical skills amongst the elite,Be in-demand with a health degree from QLD's No.1 public university for skills development*.,Jump into one of the fastest growing employment sectors,The benefits,Common questions,Business graduates are in high demand worldwide,Be taught by the best,"Just like engineers, at UniSC we make things happen",Immerse yourself,Sustainability is at the heart of everything we do,Master your skills as a nurse or midwife,Become a creative and critical thinker,Why study Arts?,There's never been a more relevant time to study psychology and social sciences,At UniSC we live and breathe sustainability
Bachelor ofBusiness (Honours),N/A,1 year,1 year,"A$15,446 - 2025 Fees",Direct application to USC,Semester 1,N/A,{{ vm.location }}Online,1 year1 yearFull-time or equivalent part-timeOnly a full-time option is available to international students on a Student visa.  Online programs are not available to Student visa holders.,"A$15,446 - 2025 FeesCSP","A$15,446 - 2025 FeesCSP",Direct application to USC,Semester 1Semester 2,"Undergraduate Certificate inDigital BusinessMoreton Bay,Online6 monthsfull time or equivalent part-timeCareer outcomesDigital specialist, Social media manager, Website developer, Digital business managerDiploma inBusinessMoreton Bay,Sunshine Coast,Online1 yearfull time or equivalent part-timeCareer outcomesBusiness administration, Digital futures, Economics and finance, Human resource management, Marketing, Small business management, Tourism, Leisure and Event managementBachelor ofBusinessSunshine Coast,Moreton Bay,Online3 yearsfull time or equivalent part-timeCareer outcomesAcademia, Government positions, Corporate positions, Consultancy, Business management, Human resource management, Marketing management, Market research, International business, Computing, Systems analysisBachelor ofBusiness  / CommunicationSunshine Coast,Moreton Bay,Online4 yearsfull time or equivalent part-timeCareer outcomesSocial media manager, Advertising executive, Content strategist, Creative director, Public relations officer, Copywriter, Marketing coordinator, Corporate communications office, Entrepreneur, Innovation managerMaster ofBusiness Administration MBASunshine Coast,Online1.5 yearsfull time or equivalent part-timeCareer outcomesChief Executive Officer, Chief Operating Officer, Chief Financial Officer, General Manager, Senior Project Manager, Account Executive, High level management roles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,"Our five-star rated teaching staff* includes experienced paramedics and other professionals, so you're learning from experts with real-world knowledge.In class you'll learn everything from pharmacology to legal and ethical practice, while honing your clinical skills in our specialist paramedics lab. Practise attending a range of scenarios and loading patients into the truck before heading out to your placement in the field.*Good Universities Guide 2023/24",Paramedicine at UniSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diploma inCreative Industries,N/A,1 year,1 year,"A$15,072 - 2025 Fees",015701,Semester 1,N/A,{{ vm.location }}Sunshine CoastMoreton Bay,1 year1 yearFull-time or equivalent part-timeOnly a full-time option is available to international students on a Student visa.  Online programs are not available to Student visa holders.,"A$15,072 - 2025 FeesCSP","A$15,072 - 2025 FeesCSP",015701014701,Semester 1Semester 2Semester 1Semester 2,"Undergraduate Certificate inInteractive MediaSunshine Coast,Moreton Bay,Online1 yearfull time or equivalent part-timeCareer outcomesA first step towards being a professional designer, Interactive media specialist, Game designer, Artist or programmer, Visual communication designer, Photographer, Visualisation designer, Interdisciplinary artist, Creative producer, Fashion designer, Content creator, Design strategistDiploma inCreative IndustriesSunshine Coast,Moreton Bay1 yearfull time or equivalent part-timeCareer outcomesCreative entrepreneur, Performance creator, Screen media professional, Writer, Publisher, Creative director, Music industry professional, Actor, Theatre worker, Entertainment industry professionalBachelor ofCreative IndustriesSunshine Coast,Moreton Bay,Online3 yearsfull time or equivalent part-timeCareer outcomesCreative entrepreneur, Performance creator, Screen media professional, Writer/publisher, Creative director, Music industry professional, Theatre practitioner/actor, Entertainment industry professionalBachelor ofBusiness  / Creative IndustriesSunshine Coast,Moreton Bay,Online4 yearsfull time or equivalent part-timeCareer outcomesBusiness manager, Entrepreneur, Marketing coordinator, HR manager, Innovation manager, Communications professional, Market researcher, Writer/publisher, Creative director, Advertising executive, International business, Tourism and hospitality managerMaster ofCreative ArtsSunshine Coast,Fraser Coast,Gympie,Caboolture,Moreton Bay2 yearsfull time or equivalent part-timeCareer outcomesCreative writing, Art and digital design, Interactive technologies and games",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bachelor ofBusiness  / Science,50.00,4 years,4 years,"A$13,152 - 2025 Fees",015001,Semester 1,N/A,{{ vm.location }}Sunshine CoastMoreton Bay,4 years4 yearsFull-time or equivalent part-timeOnly a full-time option is available to international students on a Student visa.  Online programs are not available to Student visa holders.,"A$13,152 - 2025 FeesCSP","A$13,152 - 2025 FeesCSP",015001014501,Semester 1Semester 2Semester 1Semester 2,"Undergraduate Certificate inDigital BusinessMoreton Bay,Online6 monthsfull time or equivalent part-timeCareer outcomesDigital specialist, Social media manager, Website developer, Digital business managerDiploma inBusinessMoreton Bay,Sunshine Coast,Online1 yearfull time or equivalent part-timeCareer outcomesBusiness administration, Digital futures, Economics and finance, Human resource management, Marketing, Small business management, Tourism, Leisure and Event managementBachelor ofBusinessSunshine Coast,Moreton Bay,Online3 yearsfull time or equivalent part-timeCareer outcomesAcademia, Government positions, Corporate positions, Consultancy, Business management, Human resource management, Marketing management, Market research, International business, Computing, Systems analysisMaster ofScienceSunshine Coast,Fraser Coast,Gympie,Caboolture,Moreton Bay2 yearsfull time or equivalent part-timeCareer outcomesProject manager, Management Analyst, Consultant, Operations manager, Human resources manager, Sports manager, Entertainment manager, Industrial production manager",,,022809K,50.0050.00ATAR/Rank,,,,,,,,,,,,,,,,,,,,,,,,,,
Bachelor ofBusiness  / Design,50.00,4 years,4 years,"A$11,606 - 2025 Fees",017211,Semester 1,N/A,{{ vm.location }}Sunshine CoastMoreton BayOnline,4 years4 yearsFull-time or equivalent part-timeOnly a full-time option is available to international students on a Student visa.  Online programs are not available to Student visa holders.,"A$11,606 - 2025 FeesCSP","A$11,606 - 2025 FeesCSP",017211014241015044,Semester 1Semester 2Semester 1Semester 2Semester 1Semester 2,"Bachelor ofBusinessSunshine Coast,Moreton Bay,Online3 yearsfull time or equivalent part-timeCareer outcomesAcademia, Government positions, Corporate positions, Consultancy, Business management, Human resource management, Marketing management, Market research, International business, Computing, Systems analysisBachelor ofBusiness  / CommunicationSunshine Coast,Moreton Bay,Online4 yearsfull time or equivalent part-timeCareer outcomesSocial media manager, Advertising executive, Content strategist, Creative director, Public relations officer, Copywriter, Marketing coordinator, Corporate communications office, Entrepreneur, Innovation managerBachelor ofDesignSunshine Coast,Moreton Bay,Online3 yearsfull time or equivalent part-timeCareer outcomesProfessional designer, Interactive media specialist, Game designer, artist or programmer, Visual communication designer, Photographer, Visualisation designer, Interdisciplinary artist, Creative producer, Content creator, Digital strategist, Fashion designerBachelor ofCreative IndustriesSunshine Coast,Moreton Bay,Online3 yearsfull time or equivalent part-timeCareer outcomesCreative entrepreneur, Performance creator, Screen media professional, Writer/publisher, Creative director, Music industry professional, Theatre practitioner/actor, Entertainment industry professional",,,0101883,50.0050.0050.00ATAR/Rank,,,,,,,,,,,,,,,,,,,,,,,,,,
Bachelor ofLaws  / Environmental Management,70.00,5 years,5 years,"A$13,152 - 2025 Fees",018321,Semester 1,N/A,{{ vm.location }}Sunshine CoastMoreton Bay,5 years5 yearsFull-time or equivalent part-timeOnly a full-time option is available to international students on a Student visa.  Online programs are not available to Student visa holders.,"A$13,152 - 2025 FeesCSP","A$13,152 - 2025 FeesCSP",018321014814,Semester 1Semester 2Semester 1Semester 2,"Undergraduate Certificate inLegal StudiesSunshine Coast6 monthsfull time or equivalent part-timeCareer outcomesA first step to Paralegal work, Law administration, Law enforcement, Corrections, Youth justiceDiploma inCriminology and JusticeSunshine Coast1 yearfull time or equivalent part-timeBachelor ofLaws  / Criminology and JusticeSunshine Coast,Moreton Bay,Online5 yearsfull time or equivalent part-timeCareer outcomesLegal research, Law reform research and policy, Development, Advocacy, Political advising, Corruption, White collar crime investigations, Prosecutions, Crime preventionBachelor ofLawsSunshine Coast,Moreton Bay,Online3 yearsfull time or equivalent part-timeCareer outcomesSolicitor, Barrister, Government legal officer, Judge's associate, Corporate in-house counsel, Business and public service administration",,,092874K,70.0070.00ATAR/Rank,,,,,,,,,,,,,,,,,,,,,,,,,,
Bachelor ofScience (Honours),N/A,1 year,1 year,"A$9,312 - 2025 Fees",N/A,Semester 1,N/A,{{ vm.location }}Sunshine CoastFraser CoastMoreton Bay,1 year1 yearFull-time or equivalent part-timeOnly a full-time option is available to international students on a Student visa.  Online programs are not available to Student visa holders.,"A$9,312 - 2025 FeesCSP","A$9,312 - 2025 FeesCSP",,Semester 1Semester 2Semester 1Semester 2Semester 1Semester 2,"Undergraduate Certificate inEngineering DesignSunshine Coast,Moreton Bay6 monthsfull time or equivalent part-timeCareer outcomesWith further study – Civil engineer, Electrical and Electronic engineer, Merchanical engineer, Mechatronic engineerBachelor ofHealth ScienceSunshine Coast3 yearsfull time or equivalent part-timeCareer outcomesHealth promotion officer, Environmental health officer, Health policy development, Project development and management, Health communication specialistMaster ofScienceSunshine Coast,Fraser Coast,Gympie,Caboolture,Moreton Bay2 yearsfull time or equivalent part-timeCareer outcomesProject manager, Management Analyst, Consultant, Operations manager, Human resources manager, Sports manager, Entertainment manager, Industrial production manager",,,028850E,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bachelor ofEngineering (Electrical and Electronic) (Honours),60.00,4 years,4 years,"A$8,140 - 2025 Fees",014711,Semester 1,N/A,{{ vm.location }}Moreton Bay,4 years4 yearsFull-time or equivalent part-timeOnly a full-time option is available to international students on a Student visa.  Online programs are not available to Student visa holders.,"A$8,140 - 2025 FeesCSP","A$8,140 - 2025 FeesCSP",014711,Semester 1Semester 2,"Undergraduate Certificate inEngineering DesignSunshine Coast,Moreton Bay6 monthsfull time or equivalent part-timeCareer outcomesWith further study – Civil engineer, Electrical and Electronic engineer, Merchanical engineer, Mechatronic engineerDiploma inScience and TechnologySunshine Coast,Moreton Bay1 yearfull time or equivalent part-timeCareer outcomesEducation, Research, Industry/government, Restoration and conservation, Parks and wildlife, Resource management, Waste and pollution control, Catchment management agencies, Environmental consultant, Wildlife management and conservation organisations, Environmental monitoring and managementBachelor ofEngineering (Civil) (Honours)Sunshine Coast,Moreton Bay4 yearsfull time or equivalent part-timeCareer outcomesGovernment agencies, Construction companies, Engineering consultancies, Building industry, Mining industry, Research organisationsBachelor ofEngineering (Civil) (Honours)  / Environmental ScienceSunshine Coast,Moreton Bay5 yearsfull time or equivalent part-timeCareer outcomesGovernment agencies, Construction companies, Engineering consultancies, Building industry, Water supply authorities, Mining industry, Research organisations, Parks and wildlife, Resource management, Environmental consultanciesMaster ofScienceSunshine Coast,Fraser Coast,Gympie,Caboolture,Moreton Bay2 yearsfull time or equivalent part-timeCareer outcomesProject manager, Management Analyst, Consultant, Operations manager, Human resources manager, Sports manager, Entertainment manager, Industrial production manager",,,0100794,60.00ATAR/Rank,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,Design at UniSC,,,"We're rated five stars for teaching quality*, a rating we've held for 18 consecutive years. So you know you're learning everything you need from the best there is.Go on. Skip the loading screens and get into your career quicker by studying Design at UniSC.*Good Universities Guide 2023/24",,,,,,,,,,,,,,,,,,,,,,,,,
Diploma inOutdoor Environmental Studies,N/A,1 year,1 year,"A$23,500",N/A,Semester 1,N/A,{{ vm.location }}Sunshine Coast,1 year1 yearFull-time or equivalent part-timeOnly a full-time option is available to international students on a Student visa.  Online programs are not available to Student visa holders.,"A$23,500Annual fee","A$23,500Annual fee",,Semester 1Semester 2,"Undergraduate Certificate inAnimal EcologyFraser Coast,Moreton Bay,Sunshine Coast6 monthsfull time or equivalent part-timeCareer outcomesWith further study - Animal ecology specialist, Private environmental consulting, Researcher, Research assistant, Manager in Government and non-governmental agencies, Ranger, Manager in wildlife management and conservation organisations, Practitioner in environmental monitoring and management, Collector and curator in museums, Environmental educator, Specialist ecotourism guideDiploma inOutdoor Environmental StudiesSunshine Coast1 yearfull time or equivalent part-timeCareer outcomesOutdoor education leaders, Outdoor environmental studies, Entry-level environmental management positionsBachelor ofEnvironmental ScienceSunshine Coast,Moreton Bay3 yearsfull time or equivalent part-timeCareer outcomesRestoration and conservation, Parks and wildlife, Resource management, Waste and pollution control, Catchment management agencies, Environmental consultantBachelor ofEducation (Secondary)  / Recreation and Outdoor Environmental StudiesSunshine Coast,Moreton Bay4 yearsfull time or equivalent part-timeCareer outcomesTeacher in secondary schools, Outdoor leader, Outdoor guide, Sports coach, Outdoor recreation officer, Environmental interpretation guide, Adventure tourism guide, Ecotourism guideMaster ofClimate Change Adaptation by ResearchSunshine Coast,Fraser Coast,Gympie,Caboolture,Moreton Bay2 yearsfull time or equivalent part-timeCareer outcomesClimatologist, Climate scientist, Climate policy analyst, Environmental consulant, Resource manager",,,088627D,,,,,,,,,,,,,,,,,,,,,,,,,,,
